pmcid	year	count	title	pubmedid
PMC7349340	2020	20887	Optimizing Trap Characteristics to Monitor the Leaffooted Bug Leptoglossuszonatus (Heteroptera: Coreidae) in Orchards	32526906
PMC6836135	2019	30217	Cold Tolerance and Population Dynamics of Leptoglossus zonatus (Hemiptera: Coreidae)	31627302
PMC6835505	2019	45306	Assessing Feeding Damage from Two Leaffooted Bugs, Leptoglossus clypealis Heidemann and Leptoglossus zonatus (Dallas) (Hemiptera: Coreidae), on Four Almond Varieties	31591308
PMC6723408	2019	32984	Seasonal Dynamics of the Leaffooted Bug Leptoglossus zonatus and Its Implications for Control in Almonds and Pistachios	31430888
PMC6351711	2019	60060	Effects of Volatiles from Clavigralla tomentosicollis St&#xE5;l. (Hemiptera: Coreidae) Adults on the Host Location Behavior of the Egg Parasitoid Gryon fulviventre (Crawford) (Hymenoptera: Scelionidae)	30728729
PMC6164602	2018	29135	Behavioral Response of Leptoglossus zonatus (Heteroptera: Coreidae) to Stimuli Based on Colors and its Aggregation Pheromone	30049945
PMC5834936	2018	80040	Precopulatory behavior and sexual conflict in the desert locust	29507823
PMC4015393	2013	20846	The Metathoracic Scent Gland of the Leaf-Footed Bug, Leptoglossus zonatus	24773315
