pmcid	year	count	title	pubmedid
PMC5846457	2018	90337	Current state of knowledge on Wolbachia infection among Coleoptera: a systematic review	29568706
PMC5371936	2017	45263	Wolbachia Affects Reproduction and Population Dynamics of the Coffee Berry Borer (Hypothenemus hampei): Implications for Biological Control	28085049
PMC4672207	2015	24537	Population Dynamics of Aphthona whitfieldi (Coleoptera: Chrysomelidae), Pest of Jatropha curcas, and Environmental Factors Favoring Its Abundance in Burkina Faso	26206896
PMC3253646	2011	52836	Types of geographical distribution of leaf beetles (Chrysomelidae) in Central Europe                    <xref ref-type="author-notes" rid="FN1">*</xref>                	22303107
